TESEX,edtime,classdeg,classoth,exc,hw,reg,read,comp_games,working,caretaking,faminc,faminc_cat,race,race_num,GEREG,GESTFIPS,weekday,weekday_num,TUYEAR,TUMONTH,TESCHLVL,TUFINLWGT
1,459.0,449.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,8.0,2.0,Hispanic,1,4,35,Weekday,2,2003,1,1,10015785.466103
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,90.0,0.0,8.0,2.0,Black,3,1,36,Weekday,2,2003,1,2,6616047.237376
1,445.0,430.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,Black,3,1,36,Weekday,2,2003,1,1,5989828.369095
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,,3.0,White,2,1,36,Weekend,1,2003,1,1,1696386.597291
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,1,36,Weekday,2,2003,1,2,10548422.983158
1,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,8.0,14.0,4.0,White,2,1,36,Weekend,1,2003,1,2,5672251.165588
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,White,2,3,37,Weekend,1,2003,1,1,2056251.18211
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,2.0,1.0,White,2,3,37,Weekday,2,2003,1,2,11654656.400081
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,342.0,14.0,4.0,White,2,3,37,Weekday,2,2003,1,2,3382280.058572
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,1.0,1.0,Asian,5,2,39,Weekend,1,2003,1,2,2185447.075728
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,Black,3,2,39,Weekend,1,2003,1,2,1054494.865204
2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,14.0,4.0,White,2,2,39,Weekend,1,2003,1,2,2919853.42927
1,0.0,0.0,0.0,0.0,0.0,0.0,467.0,260.0,170.0,0.0,11.0,3.0,White,2,2,39,Weekend,1,2003,1,1,1790407.207385
1,210.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,60.0,7.0,1.0,Other,6,3,40,Weekday,2,2003,1,2,2380724.167346
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,White,2,3,40,Weekday,2,2003,1,2,7868942.892253
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,White,2,4,41,Weekend,1,2003,1,2,3032421.148103
2,565.0,445.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,White,2,4,41,Weekday,2,2003,1,1,4488143.0623
1,590.0,440.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,White,2,4,41,Weekday,2,2003,1,1,8448594.544335
1,90.0,0.0,0.0,0.0,90.0,0.0,0.0,150.0,0.0,0.0,11.0,3.0,Other,6,1,42,Weekend,1,2003,1,1,1820963.980252
